periodo,ano,mes_numero,mes,posicao,marca,modelo,emplacamentos
2025-07,2025,7,Julho,1,VW,POLO,12940
2025-07,2025,7,Julho,2,FIAT,ARGO,9966
2025-07,2025,7,Julho,3,VW,T CROSS,9022
2025-07,2025,7,Julho,4,FIAT,MOBI,8099
2025-07,2025,7,Julho,5,HYUNDAI,CRETA,7856
2025-07,2025,7,Julho,6,GM,ONIX,7689
2025-07,2025,7,Julho,7,GM,TRACKER,6974
2025-07,2025,7,Julho,8,TOYOTA,COROLLA CROSS,6866
2025-07,2025,7,Julho,9,NISSAN,KICKS,6341
2025-07,2025,7,Julho,10,FIAT,FASTBACK,6207
2025-07,2025,7,Julho,11,VW,NIVUS,5777
2025-07,2025,7,Julho,12,HYUNDAI,HB20,5519
2025-07,2025,7,Julho,13,JEEP,COMPASS,4935
2025-07,2025,7,Julho,14,FIAT,PULSE,4836
2025-07,2025,7,Julho,15,HONDA,HR-V,4086
2025-07,2025,7,Julho,16,VW,VIRTUS,3863
2025-07,2025,7,Julho,17,RENAULT,KWID,3726
2025-07,2025,7,Julho,18,CAOA CHERY,TIGGO 7,3721
2025-07,2025,7,Julho,19,JEEP,RENEGADE,3711
2025-07,2025,7,Julho,20,GWM,HAVAL H6,3339
2025-07,2025,7,Julho,21,VW,TERA,3244
2025-07,2025,7,Julho,22,TOYOTA,COROLLA,3170
2025-07,2025,7,Julho,23,BYD,SONG,3164
2025-07,2025,7,Julho,24,GM,ONIX PLUS,3108
2025-07,2025,7,Julho,25,BYD,DOLPHIN MINI,3011
2025-07,2025,7,Julho,26,HYUNDAI,HB20S,2638
2025-07,2025,7,Julho,27,GM,SPIN,1942
2025-07,2025,7,Julho,28,FIAT,CRONOS,1894
2025-07,2025,7,Julho,29,RENAULT,DUSTER,1851
2025-07,2025,7,Julho,30,CITROEN,BASALT,1613
2025-07,2025,7,Julho,31,HONDA,CITY,1565
2025-07,2025,7,Julho,32,TOYOTA,HILUX SW4,1500
2025-07,2025,7,Julho,33,CAOA CHERY,TIGGO 8,1440
2025-07,2025,7,Julho,34,CAOA CHERY,TIGGO 5X,1434
2025-07,2025,7,Julho,35,HONDA,CITY HATCH,1427
2025-07,2025,7,Julho,36,RENAULT,KARDIAN,1332
