periodo,ano,mes_numero,mes,total_automoveis,hibridos,eletricos,total_eletrificados,participacao_hibridos_pct,participacao_eletricos_pct,participacao_eletrificados_pct
2025-07,2025,7,Julho,181787,18015,6953,24968,9.91,3.82,13.73
2025-08,2025,8,Agosto,172280,17533,7594,25127,10.18,4.41,14.58
2025-09,2025,9,Setembro,178548,18955,8023,26978,10.62,4.49,15.11
2025-10,2025,10,Outubro,192752,19702,7826,27528,10.22,4.06,14.28
2025-11,2025,11,Novembro,182044,18609,7202,25811,10.22,3.96,14.18
2025-12,2025,12,Dezembro,210732,27823,11456,39279,13.2,5.44,18.64
2026-01,2026,1,Janeiro,125136,18995,8198,27193,15.18,6.55,21.73
2026-02,2026,2,Fevereiro,140548,19250,8654,27904,13.7,6.16,19.85
2026-03,2026,3,Março,206375,25630,13991,39621,12.42,6.78,19.2
2026-04,2026,4,Abril,187313,25767,17468,43235,13.76,9.33,23.08
2026-05,2026,5,Maio,214300,30335,20878,51213,14.16,9.74,23.9
2026-06,2026,6,Junho,212902,32563,21018,53581,15.29,9.87,25.17
